"id","sex","grade","school","class_id","condition","status","total_points","fwd_att","bwd_att"
"mix508","F","fifth","school3","school3_fifth","mixed","participant",5,1,0
"mix509","F","fifth","school3","school3_fifth","mixed","participant",7,3,3
"mix510","M","fifth","school3","school3_fifth","mixed","participant",6,1,0
"mix511","M","fifth","school3","school3_fifth","mixed","participant",14,1,1
"mix512","M","fifth","school3","school3_fifth","mixed","rejected",NA,NA,NA
"mix513","M","fifth","school3","school3_fifth","mixed","participant",19,1,3
"mix514","M","fifth","school3","school3_fifth","mixed","participant",16,1,1
"mix515","F","fifth","school3","school3_fifth","mixed","participant",4,1,0
"mix516","F","fifth","school3","school3_fifth","mixed","participant",19,1,1
"mix517","M","fifth","school3","school3_fifth","mixed","participant",14,1,1
"mix518","M","fifth","school3","school3_fifth","mixed","participant",19,1,1
"mix519","M","fifth","school3","school3_fifth","mixed","rejected",NA,NA,NA
"mix520","F","fifth","school3","school3_fifth","mixed","participant",6,1,0
"mix521","F","fifth","school3","school3_fifth","mixed","participant",4,1,0
"mix522","F","fifth","school3","school3_fifth","mixed","participant",7,1,0
"mixk01","F","kinder","school3","school3_kinder","mixed","participant",2,1,0
"mixk02","F","kinder","school3","school3_kinder","mixed","participant",2,2,0
"mixk03","F","kinder","school3","school3_kinder","mixed","participant",2,2,0
"mixk04","M","kinder","school3","school3_kinder","mixed","participant",5,3,0
"mixk05","M","kinder","school3","school3_kinder","mixed","participant",2,3,0
"mixk06","F","kinder","school3","school3_kinder","mixed","participant",4,1,0
"mixk07","M","kinder","school3","school3_kinder","mixed","participant",6,1,0
"mixk08","M","kinder","school3","school3_kinder","mixed","participant",3,1,0
"mixk09","F","kinder","school3","school3_kinder","mixed","rejected",NA,NA,NA
"mixk10","M","kinder","school3","school3_kinder","mixed","participant",3,2,0
"mixk11","M","kinder","school3","school3_kinder","mixed","participant",4,2,0
"mixk12","M","kinder","school3","school3_kinder","mixed","participant",2,2,0
"mixk13","F","kinder","school3","school3_kinder","mixed","participant",3,1,0
"mixk14","M","kinder","school3","school3_kinder","mixed","participant",3,1,0
"mixk15","F","kinder","school3","school3_kinder","mixed","participant",1,3,0
"mixk16","F","kinder","school3","school3_kinder","mixed","participant",4,1,0
"mixk17","M","kinder","school3","school3_kinder","mixed","atypical",2,3,0
"mixk18","M","kinder","school3","school3_kinder","mixed","atypical",1,3,0
"mixk19","F","kinder","school3","school3_kinder","mixed","participant",4,2,0
"mixk20","M","kinder","school3","school3_kinder","mixed","atypical",0,3,0
"mixk21","F","kinder","school3","school3_kinder","mixed","participant",6,3,0
"mixk22","M","kinder","school3","school3_kinder","mixed","participant",4,3,0
"mixk23","F","kinder","school3","school3_kinder","mixed","participant",6,1,0
"mixk24","F","kinder","school3","school3_kinder","mixed","participant",3,1,0
"mixk25","F","kinder","school3","school3_kinder","mixed","participant",3,1,0
"mixk26","F","kinder","school3","school3_kinder","mixed","participant",4,3,0
"mixk27","F","kinder","school3","school3_kinder","mixed","participant",3,1,0
"mixk28","M","kinder","school3","school3_kinder","mixed","participant",4,2,0
"ppr501","F","fifth","school1","school1_fifth","paper","participant",7,1,0
"ppr502","F","fifth","school1","school1_fifth","paper","rejected",NA,NA,NA
"ppr503","M","fifth","school1","school1_fifth","paper","participant",16,1,3
"ppr504","F","fifth","school1","school1_fifth","paper","participant",6,1,0
"ppr505","F","fifth","school1","school1_fifth","paper","participant",4,2,0
"ppr506","F","fifth","school1","school1_fifth","paper","participant",17,2,1
"ppr507","M","fifth","school1","school1_fifth","paper","participant",2,1,0
"ppr508","F","fifth","school1","school1_fifth","paper","participant",6,1,0
"ppr509","F","fifth","school1","school1_fifth","paper","participant",13,1,2
"ppr510","M","fifth","school1","school1_fifth","paper","participant",7,3,3
"ppr511","M","fifth","school1","school1_fifth","paper","participant",6,1,0
"ppr512","M","fifth","school1","school1_fifth","paper","rejected",NA,NA,NA
"ppr513","F","fifth","school1","school1_fifth","paper","participant",8,1,0
"ppr514","M","fifth","school1","school1_fifth","paper","participant",16,1,1
"ppr515","M","fifth","school1","school1_fifth","paper","participant",14,1,1
"ppr516","F","fifth","school1","school1_fifth","paper","rejected",NA,NA,NA
"ppr517","M","fifth","school1","school1_fifth","paper","participant",9,1,3
"ppr518","M","fifth","school1","school1_fifth","paper","participant",8,2,0
"ppr519","F","fifth","school1","school1_fifth","paper","participant",7,1,0
"ppr520","F","fifth","school1","school1_fifth","paper","participant",7,1,0
"ppr521","M","fifth","school1","school1_fifth","paper","participant",17,1,1
"ppr522","M","fifth","school1","school1_fifth","paper","participant",6,1,0
"ppr523","M","fifth","school1","school1_fifth","paper","participant",11,1,1
"ppr524","M","fifth","school1","school1_fifth","paper","participant",8,1,0
"ppr525","F","fifth","school1","school1_fifth","paper","participant",5,1,0
"ppr526","M","fifth","school1","school1_fifth","paper","participant",14,2,1
"ppr527","M","fifth","school1","school1_fifth","paper","participant",16,1,1
"ppr528","F","fifth","school1","school1_fifth","paper","rejected",NA,NA,NA
"ppr529","F","fifth","school1","school1_fifth","paper","rejected",NA,NA,NA
"ppr530","F","fifth","school1","school1_fifth","paper","participant",15,1,1
"ppr531","M","fifth","school1","school1_fifth","paper","participant",18,1,1
"ppr532","F","fifth","school1","school1_fifth","paper","participant",7,1,0
"ppr533","M","fifth","school1","school1_fifth","paper","participant",13,1,1
"ppr534","F","fifth","school1","school1_fifth","paper","rejected",NA,NA,NA
"ppr535","M","fifth","school1","school1_fifth","paper","participant",7,1,0
"ppr536","M","fifth","school1","school1_fifth","paper","participant",11,1,1
