"id","sex","grade","school","class_id","condition","status","respuesta_pregunta_1","tiempo_pregunta_1","respuesta_pregunta_2","tiempo_pregunta_2","respuesta_pregunta_3","tiempo_pregunta_3","respuesta_pregunta_4","tiempo_pregunta_4","respuesta_pregunta_5","tiempo_pregunta_5","respuesta_pregunta_6","tiempo_pregunta_6","respuesta_pregunta_7","tiempo_pregunta_7","respuesta_pregunta_8","tiempo_pregunta_8","respuesta_pregunta_9","tiempo_pregunta_9","respuesta_pregunta_10","tiempo_pregunta_10","respuesta_pregunta_11","tiempo_pregunta_11","respuesta_pregunta_12","tiempo_pregunta_12","respuesta_pregunta_13","tiempo_pregunta_13","respuesta_pregunta_14","tiempo_pregunta_14","respuesta_pregunta_15","tiempo_pregunta_15","respuesta_pregunta_16","tiempo_pregunta_16","respuesta_pregunta_17","tiempo_pregunta_17","respuesta_pregunta_18","tiempo_pregunta_18","respuesta_pregunta_19","tiempo_pregunta_19","respuesta_pregunta_20","tiempo_pregunta_20","respuesta_pregunta_21","tiempo_pregunta_21","respuesta_pregunta_22","tiempo_pregunta_22","respuesta_pregunta_23","tiempo_pregunta_23","respuesta_pregunta_24","tiempo_pregunta_24","dccs_tv_score","dccs_mean_acc","dccs_mean_rt"
"ctlk01","F","kinder","school4","school4_kinder","control_1","rejected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ctlk02","F","kinder","school4","school4_kinder","control_1","participant",1,2301,1,2367,1,5207,0,1704,1,3830,1,2156,1,1572,1,1257,1,1063,1,1989,0,1182,1,2276,1,4553,0,1752,1,2588,1,1560,1,2834,1,2444,1,1537,1,1765,1,1688,1,1130,1,2610,1,1809,5.29688053501313,0.875,2311.2380952381
"ctlk03","M","kinder","school4","school4_kinder","control_1","participant",1,4959,1,3525,1,2370,1,2496,1,1884,1,1586,1,1999,1,2467,1,2719,1,1646,1,1480,1,4515,1,5093,1,3667,1,2372,1,2360,1,1858,1,2332,1,1734,1,3637,1,7151,1,1627,1,1458,1,2227,5.66368915808404,1,2798.41666666667
"ctlk04","F","kinder","school4","school4_kinder","control_1","participant",1,2351,1,1417,1,1463,1,1500,1,1255,1,2308,0,3274,1,1754,1,1443,1,1473,1,1095,1,1995,1,1595,1,2896,1,1346,1,1021,1,1407,1,2371,1,2072,1,1579,1,2194,1,1122,1,1086,1,1276,6.77661822797772,0.958333333333333,1653
"ctlk05","F","kinder","school4","school4_kinder","control_1","participant",1,3095,1,21054,1,3127,1,1520,1,1430,1,1936,1,1090,1,1162,1,1203,1,2081,1,1167,1,895,1,3128,0,1813,1,3240,0,1947,1,3829,1,2427,1,1257,1,1326,1,1309,1,981,1,1324,1,2457,6.65095975619106,0.916666666666667,1904
"ctlk06","M","kinder","school4","school4_kinder","control_1","participant",0,7276,1,3860,1,4243,0,6796,1,2346,1,47211,1,8142,1,2541,1,2285,1,2388,1,1883,1,10263,0,6050,0,7021,1,4651,0,3286,0,3754,0,1357,0,1592,1,889,0,3632,1,9337,1,1153,1,5804,3.125,0.625,3809.38461538462
"ctlk07","M","kinder","school4","school4_kinder","control_1","participant",1,2658,1,7259,1,3025,1,1700,1,1192,1,1351,1,1704,1,1537,1,1419,1,1395,1,1884,1,2049,1,3932,0,2289,1,3866,1,5037,1,2961,1,4554,1,2895,1,2298,1,2871,1,1623,1,2052,1,3529,5.53555309176923,0.958333333333333,2730.04347826087
"ctlk08","M","kinder","school4","school4_kinder","control_1","participant",1,2219,1,6421,1,1598,1,5747,1,5940,1,9000,1,9519,1,11950,1,5915,1,5583,1,3785,1,6549,1,14131,1,6402,1,5002,1,5258,1,3514,1,16632,1,3488,1,4663,1,8715,1,10469,1,10365,1,15582,5,1,5517.66666666667
"ctlk09","M","kinder","school4","school4_kinder","control_1","participant",1,2048,1,4064,1,5084,1,1829,1,3846,1,1241,1,1665,0,1382,1,2167,1,1908,1,976,1,966,0,2824,0,2383,1,1935,0,1139,1,1285,1,967,1,992,1,1166,0,1245,1,1825,1,1179,1,1689,3.95833333333333,0.791666666666667,1938.52631578947
"ctlk10","M","kinder","school4","school4_kinder","control_1","participant",1,2814,1,2007,1,2217,1,1814,1,1762,1,1665,1,3379,1,2499,1,1796,1,2039,1,2165,1,1457,1,2921,1,2862,1,2898,1,2350,0,2877,1,5409,1,2827,1,2719,1,1368,1,1627,1,1748,1,1748,5.70192257103253,0.958333333333333,2351.78260869565
"ctlk11","M","kinder","school4","school4_kinder","control_1","participant",0,4336,1,3611,1,2780,1,1892,1,2669,1,1888,1,2190,1,1376,1,2049,1,1618,1,2507,1,2818,1,4637,1,4295,1,2521,1,2451,1,2177,1,1764,1,2236,1,1972,1,1666,1,2141,1,2389,1,2049,5.66988372159114,0.958333333333333,2421.5652173913
"ctlk12","M","kinder","school4","school4_kinder","control_1","participant",1,2102,1,2084,1,1434,1,2782,1,2345,1,2635,1,3219,1,2241,1,1522,1,1860,1,1268,1,2082,0,3304,0,2644,0,1182,0,1430,1,1213,1,3053,1,4530,1,1699,1,1701,1,1563,0,2442,1,1670,3.95833333333333,0.791666666666667,2158.05263157895
