"id","sex","grade","school","ed_level","attendence","condition2","cond_grade2","time","corsi","hnf","dccs","woodcock","tejas","time_lab","ed_level_c"
"ctl2k11","M","kinder","school5",2,0,"control","control_kinder",1,2,2.0959595959596,3.95833333333333,36,19,"post",1
"ctl2k12","F","kinder","school5",3,0,"control","control_kinder",0,2,3.63632632593036,6.26507825447113,29,40,"pre",2
"ctl2k12","F","kinder","school5",3,0,"control","control_kinder",1,2,2.82828282828283,5.60439842285384,29,50,"post",2
"ctl2k14","F","kinder","school5",2,0,"control","control_kinder",0,3,6.13741063236298,6.17152335886199,54,42,"pre",1
"ctl2k14","F","kinder","school5",2,0,"control","control_kinder",1,4,5.4223152338925,6.53778755304799,43,35,"post",1
"ctl2k15","M","kinder","school5",2,0,"control","control_kinder",0,2,3.45974082695407,7.1683373018815,60,28,"pre",1
"ctl2k15","M","kinder","school5",2,0,"control","control_kinder",1,4,5.20825540062566,7.94958846912827,62,40,"post",1
"dig501","M","fifth","school2",4,22,"digital","digital_fifth",0,11,7.99397336012003,8.31820261662822,70,69,"pre",3
"dig501","M","fifth","school2",4,22,"digital","digital_fifth",1,17,8.14487153754973,8.09660212513239,72,69,"post",3
"dig503","F","fifth","school2",2,20,"digital","digital_fifth",0,4,7.4301930746129,5.85474289901654,64,69,"pre",1
"dig503","F","fifth","school2",2,20,"digital","digital_fifth",1,6,7.7062773520643,7.07250928172869,68,72,"post",1
"dig504","M","fifth","school2",2,23,"digital","digital_fifth",0,4,2.53787878787879,7.65276513751095,63,63,"pre",1
"dig504","M","fifth","school2",2,23,"digital","digital_fifth",1,5,8.27842494641763,6.57740417862843,67,68,"post",1
"dig505","M","fifth","school2",3,20,"digital","digital_fifth",0,10,8.22251248157255,5.35665176753537,70,67,"pre",2
"dig505","M","fifth","school2",3,20,"digital","digital_fifth",1,7,8.4338847560334,7.64795591075793,71,70,"post",2
"dig506","F","fifth","school2",3,17,"digital","digital_fifth",0,7,7.45505951911702,7.20153471909264,68,62,"pre",2
"dig506","F","fifth","school2",3,17,"digital","digital_fifth",1,5,7.82887920189815,7.81503070583165,68,66,"post",2
"dig507","M","fifth","school2",2,24,"digital","digital_fifth",0,4,7.95314827222086,7.70799427561277,68,61,"pre",1
"dig507","M","fifth","school2",2,24,"digital","digital_fifth",1,8,8.03242757891045,3.95833333333333,70,67,"post",1
"dig508","M","fifth","school2",2,19,"digital","digital_fifth",0,6,7.769625797542,7.55113701325014,70,66,"pre",1
"dig508","M","fifth","school2",2,19,"digital","digital_fifth",1,6,8.3813869479976,6.97077909238807,68,68,"post",1
"dig509","F","fifth","school2",4,24,"digital","digital_fifth",0,9,8.04085841528254,7.59143450965744,71,65,"pre",3
"dig509","F","fifth","school2",4,24,"digital","digital_fifth",1,5,7.97858167629508,8.17576422423751,68,70,"post",3
"dig510","F","fifth","school2",2,24,"digital","digital_fifth",0,8,7.443527962678,6.7408534824268,69,64,"pre",1
"dig510","F","fifth","school2",2,24,"digital","digital_fifth",1,15,8.23298656622228,7.03137750453029,69,69,"post",1
"dig512","F","fifth","school2",2,23,"digital","digital_fifth",0,8,8.07519351180231,7.43079052744701,71,65,"pre",1
"dig512","F","fifth","school2",2,23,"digital","digital_fifth",1,18,8.17967327715972,8.09378196002853,65,67,"post",1
"dig513","F","fifth","school2",3,20,"digital","digital_fifth",0,6,7.87477079929544,7.0598315766365,67,67,"pre",2
"dig513","F","fifth","school2",3,20,"digital","digital_fifth",1,6,7.93942486750429,7.53120440612554,67,70,"post",2
"dig514","F","fifth","school2",3,18,"digital","digital_fifth",0,4,4.29580735372325,6.32051418820897,66,62,"pre",2
"dig514","F","fifth","school2",3,18,"digital","digital_fifth",1,4,6.69840784465993,7.46433123330683,68,70,"post",2
"dig516","M","fifth","school2",2,19,"digital","digital_fifth",0,5,6.46609445652616,6.80748039306876,70,54,"pre",1
"dig516","M","fifth","school2",2,19,"digital","digital_fifth",1,8,7.90495969178501,6.73012969394348,70,66,"post",1
"dig517","M","fifth","school2",4,24,"digital","digital_fifth",0,7,7.17431269574545,8.29129151321152,71,67,"pre",3
"dig517","M","fifth","school2",4,24,"digital","digital_fifth",1,5,7.88729205825531,8.29129151321152,65,71,"post",3
"dig518","M","fifth","school2",3,21,"digital","digital_fifth",0,6,8.05287010186019,6.25035835275715,62,61,"pre",2
"dig518","M","fifth","school2",3,21,"digital","digital_fifth",1,5,8.39108510537378,7.0911255781912,71,71,"post",2
"dig520","M","fifth","school2",3,23,"digital","digital_fifth",0,6,7.8464061857302,6.70147160624066,72,66,"pre",2
"dig520","M","fifth","school2",3,23,"digital","digital_fifth",1,9,8.16803376099332,7.79940785067152,72,71,"post",2
"dig521","M","fifth","school2",3,23,"digital","digital_fifth",0,6,7.76557013988699,6.68185877621602,51,66,"pre",2
"dig521","M","fifth","school2",3,23,"digital","digital_fifth",1,16,7.7890402691494,7.08617118677002,69,69,"post",2
"dig522","M","fifth","school2",2,22,"digital","digital_fifth",0,7,8.05638073652747,8.09008344053309,71,69,"pre",1
"dig522","M","fifth","school2",2,22,"digital","digital_fifth",1,6,7.95905143030559,7.84838943937826,69,69,"post",1
"dig523","M","fifth","school2",2,16,"digital","digital_fifth",0,8,8.44388225355755,7.82781383919201,65,61,"pre",1
"dig523","M","fifth","school2",2,16,"digital","digital_fifth",1,6,7.94239899890619,7.63836225065904,67,66,"post",1
"dig524","F","fifth","school2",1,21,"digital","digital_fifth",0,8,7.73034880289897,6.93645615690426,68,70,"pre",0
"dig524","F","fifth","school2",1,21,"digital","digital_fifth",1,15,7.86652639750888,7.62284255687017,67,64,"post",0
"dig526","M","fifth","school2",2,16,"digital","digital_fifth",0,7,7.33776172330968,6.15127329453155,65,54,"pre",1
"dig526","M","fifth","school2",2,16,"digital","digital_fifth",1,5,7.85328894489235,7.01375047075708,69,63,"post",1
"dig527","M","fifth","school2",2,23,"digital","digital_fifth",0,18,7.75922314661376,6.89554422348152,70,65,"pre",1
"dig527","M","fifth","school2",2,23,"digital","digital_fifth",1,18,8.22540970864343,7.44632265865173,68,70,"post",1
"dig529","M","fifth","school2",1,18,"digital","digital_fifth",0,9,8.39746474156424,8.21412844583166,62,54,"pre",0
"dig529","M","fifth","school2",1,18,"digital","digital_fifth",1,16,8.62084312896628,7.9670420697955,67,70,"post",0
"dig530","F","fifth","school2",2,21,"digital","digital_fifth",0,4,5.83274488985837,5.32336727263276,63,60,"pre",1
"dig530","F","fifth","school2",2,21,"digital","digital_fifth",1,5,7.5974332390594,7.27728221362223,66,66,"post",1
"dig533","M","fifth","school2",2,19,"digital","digital_fifth",0,9,8.40061395262532,8.32585006765379,69,65,"pre",1
"dig533","M","fifth","school2",2,19,"digital","digital_fifth",1,16,8.26392752378361,8.50615245918859,69,70,"post",1
"digk01","M","kinder","school2",2,21,"digital","digital_kinder",0,2,4.18604031504058,5.00219212073155,47,44,"pre",1
"digk01","M","kinder","school2",2,21,"digital","digital_kinder",1,3,5.61939016875735,4.99768193241119,57,42,"post",1
"digk02","F","kinder","school2",4,21,"digital","digital_kinder",0,4,5.6887123133504,6.91387464990764,61,44,"pre",3
"digk02","F","kinder","school2",4,21,"digital","digital_kinder",1,5,5.41855814071653,6.76338835427828,60,50,"post",3
"digk04","M","kinder","school2",3,20,"digital","digital_kinder",0,1,2.72727272727273,5.2693641905906,53,10,"pre",2
"digk04","M","kinder","school2",3,20,"digital","digital_kinder",1,5,4.58275999565182,6.13845704552645,40,8,"post",2
"digk05","F","kinder","school2",2,21,"digital","digital_kinder",0,0,2.41161616161616,6.19069761284315,15,15,"pre",1
"digk05","F","kinder","school2",2,21,"digital","digital_kinder",1,3,3.77595693358696,6.34077493760478,23,25,"post",1
"digk07","M","kinder","school2",3,24,"digital","digital_kinder",0,0,3.37723010012437,2.91666666666667,43,58,"pre",2
"digk07","M","kinder","school2",3,24,"digital","digital_kinder",1,5,5.47677674208183,6.31737562720497,54,55,"post",2
"digk08","F","kinder","school2",1,18,"digital","digital_kinder",0,1,2.91666666666667,5.73660988086808,68,31,"pre",0
"digk08","F","kinder","school2",1,18,"digital","digital_kinder",1,3,3.33333333333333,5.75132031720329,58,54,"post",0
"digk09","F","kinder","school2",2,18,"digital","digital_kinder",0,1,5.29818023694045,6.55456666323673,45,32,"pre",1
"digk09","F","kinder","school2",2,18,"digital","digital_kinder",1,6,5.04520646071271,6.82660594190826,51,48,"post",1
"digk10","F","kinder","school2",2,19,"digital","digital_kinder",0,4,6.12006775458813,5.87566976754289,36,30,"pre",1
"digk10","F","kinder","school2",2,19,"digital","digital_kinder",1,4,7.41222294298281,6.56373129024832,54,41,"post",1
"digk11","M","kinder","school2",2,21,"digital","digital_kinder",0,2,3.90970064908008,5.06103085725726,32,30,"pre",1
"digk11","M","kinder","school2",2,21,"digital","digital_kinder",1,3,4.08804424215454,6.70000633333933,50,20,"post",1
"digk12","F","kinder","school2",2,15,"digital","digital_kinder",0,2,4.48379179031758,3.95833333333333,36,27,"pre",1
"digk12","F","kinder","school2",2,15,"digital","digital_kinder",1,5,5.68710451710385,7.15282564592163,64,56,"post",1
"digk13","M","kinder","school2",4,24,"digital","digital_kinder",0,0,2.95283574153563,3.54166666666667,48,36,"pre",3
"digk13","M","kinder","school2",4,24,"digital","digital_kinder",1,3,3.32070707070707,6.81989206571406,52,51,"post",3
"digk14","M","kinder","school2",4,18,"digital","digital_kinder",0,3,5.39579642193832,6.11516859941453,49,37,"pre",3
"digk14","M","kinder","school2",4,18,"digital","digital_kinder",1,4,7.09075070248219,7.57679472878488,54,52,"post",3
"digk15","F","kinder","school2",2,20,"digital","digital_kinder",0,3,5.74134237639307,7.03620127951322,45,33,"pre",1
"digk15","F","kinder","school2",2,20,"digital","digital_kinder",1,6,7.83453909616526,7.69778857186372,54,56,"post",1
"digk16","M","kinder","school2",3,22,"digital","digital_kinder",0,4,4.47964078936608,5.59447914178367,48,49,"pre",2
"digk16","M","kinder","school2",3,22,"digital","digital_kinder",1,6,4.82381333167333,5,59,59,"post",2
"digk17","F","kinder","school2",2,22,"digital","digital_kinder",0,2,3.14430122003941,2.91666666666667,51,27,"pre",1
"digk17","F","kinder","school2",2,22,"digital","digital_kinder",1,3,2.96717171717172,6.3673074625301,58,56,"post",1
"digk18","M","kinder","school2",1,22,"digital","digital_kinder",0,0,2.37373737373737,2.91666666666667,50,41,"pre",0
"digk18","M","kinder","school2",1,22,"digital","digital_kinder",1,4,5.83316443823461,5.45600116588831,65,62,"post",0
"digk19","M","kinder","school2",2,22,"digital","digital_kinder",0,2,4.62327055927611,2.5,47,27,"pre",1
