"id","sex","grade","school","class_id","condition","eval_pre","eval_post","status","age_mths","ed_level","esp_fl","foreign_born","activity","name","time","attendence"
"dig524","F","fifth","school2","school2_fifth","digital","evaluated","evaluated","participant",132.166666666667,"1","F","F","T","sports",60,21
"dig525","F","fifth","school2","school2_fifth","digital",NA,NA,"rejected",NA,NA,NA,NA,NA,NA,NA,NA
"dig526","M","fifth","school2","school2_fifth","digital","evaluated","evaluated","participant",132.133333333333,"2","F","F","F","NA",NA,16
"dig527","M","fifth","school2","school2_fifth","digital","evaluated","evaluated","participant",135.366666666667,"2","F","F","F","NA",NA,23
"dig528","F","fifth","school2","school2_fifth","digital",NA,NA,"rejected",NA,NA,NA,NA,NA,NA,NA,NA
"dig529","M","fifth","school2","school2_fifth","digital","evaluated","evaluated","participant",128.1,"1","F","F","F","NA",NA,18
"dig530","F","fifth","school2","school2_fifth","digital","evaluated","evaluated","participant",135.066666666667,"2","F","F","T","sports",180,21
"dig531","F","fifth","school2","school2_fifth","digital",NA,NA,"rejected",NA,NA,NA,NA,NA,NA,NA,NA
"dig532","M","fifth","school2","school2_fifth","digital",NA,NA,"rejected",NA,NA,NA,NA,NA,NA,NA,NA
"dig533","M","fifth","school2","school2_fifth","digital","evaluated","evaluated","participant",136.266666666667,"2","F","F","F","NA",NA,19
"dig534","F","fifth","school2","school2_fifth","digital","evaluated",NA,"drop-out",NA,NA,NA,NA,NA,NA,NA,NA
"digk01","M","kinder","school2","school2_kinder","digital","evaluated","evaluated","participant",73.3666666666667,"2","F","F","F","NA",NA,21
"digk02","F","kinder","school2","school2_kinder","digital","evaluated","evaluated","participant",63.7,"4","F","F","T","dance",240,21
"digk03","F","kinder","school2","school2_kinder","digital","evaluated","evaluated","atypical",72.4,"2","F","F","F","NA",NA,14
"digk04","M","kinder","school2","school2_kinder","digital","evaluated","evaluated","participant",70.2,"3","F","F","F","NA",NA,20
"digk05","F","kinder","school2","school2_kinder","digital","evaluated","evaluated","participant",77.9666666666667,"2","F","F","F","NA",NA,21
"digk06","F","kinder","school2","school2_kinder","digital",NA,NA,"rejected",NA,NA,NA,NA,NA,NA,NA,NA
"digk07","M","kinder","school2","school2_kinder","digital","evaluated","evaluated","participant",73.5,"3","F","F","F","NA",NA,24
"digk08","F","kinder","school2","school2_kinder","digital","evaluated","evaluated","participant",75.9,"1","F","F","T","church",120,18
