"id","sex","grade","school","class_id","condition","status","respuesta_pregunta_1","tiempo_pregunta_1","respuesta_pregunta_2","tiempo_pregunta_2","respuesta_pregunta_3","tiempo_pregunta_3","respuesta_pregunta_4","tiempo_pregunta_4","respuesta_pregunta_5","tiempo_pregunta_5","respuesta_pregunta_6","tiempo_pregunta_6","respuesta_pregunta_7","tiempo_pregunta_7","respuesta_pregunta_8","tiempo_pregunta_8","respuesta_pregunta_9","tiempo_pregunta_9","respuesta_pregunta_10","tiempo_pregunta_10","respuesta_pregunta_11","tiempo_pregunta_11","respuesta_pregunta_12","tiempo_pregunta_12","respuesta_pregunta_13","tiempo_pregunta_13","respuesta_pregunta_14","tiempo_pregunta_14","respuesta_pregunta_15","tiempo_pregunta_15","respuesta_pregunta_16","tiempo_pregunta_16","respuesta_pregunta_17","tiempo_pregunta_17","respuesta_pregunta_18","tiempo_pregunta_18","respuesta_pregunta_19","tiempo_pregunta_19","respuesta_pregunta_20","tiempo_pregunta_20","respuesta_pregunta_21","tiempo_pregunta_21","respuesta_pregunta_22","tiempo_pregunta_22","respuesta_pregunta_23","tiempo_pregunta_23","respuesta_pregunta_24","tiempo_pregunta_24","dccs_tv_score","dccs_mean_acc","dccs_mean_rt"
"ctlk01","F","kinder","school4","school4_kinder","control_1","rejected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ctlk02","F","kinder","school4","school4_kinder","control_1","participant",1,2366,0,2024,1,2227,1,1258,1,1444,1,2012,1,2359,1,1732,1,1557,1,1460,1,1458,1,1579,1,6540,0,2078,1,2100,1,3283,1,1752,1,1591,0,2753,1,7633,1,1069,1,1171,1,1772,1,1601,5.90794984054009,0.875,2284
"ctlk03","M","kinder","school4","school4_kinder","control_1","participant",1,1729,1,2739,1,1620,1,760,0,876,1,1944,1,1513,1,1463,1,1107,1,1219,1,2261,1,2755,1,3543,1,1744,1,1562,1,1480,0,631,0,2257,0,2617,1,2185,1,1745,1,2140,1,1393,1,1776,5.69237562720497,0.833333333333333,1833.9
"ctlk04","F","kinder","school4","school4_kinder","control_1","participant",1,3827,1,1398,1,1607,1,1389,1,1084,1,1417,1,1395,1,3803,1,2488,1,1045,1,1047,1,2031,1,1802,1,3005,1,1843,1,1758,1,1911,1,1787,1,1458,1,1946,1,1162,1,1253,1,1171,1,2747,6.61386479620651,1,1848.91666666667
"ctlk05","F","kinder","school4","school4_kinder","control_1","participant",1,1673,0,947,1,902,0,1593,1,1542,1,1243,1,1453,1,3099,1,994,1,1415,1,1066,1,940,1,1342,1,2126,1,5431,0,1558,1,2488,0,1083,0,1704,1,2187,1,3528,1,2320,1,3730,0,3098,3.75,0.75,2082.16666666667
"ctlk06","M","kinder","school4","school4_kinder","control_1","participant",1,2877,1,2294,1,1603,1,3585,1,2821,1,1648,1,1173,1,1270,1,2448,1,3988,1,1884,1,3570,1,3241,1,3901,0,2129,1,4065,1,1659,1,1538,0,1989,0,1277,0,1798,0,1274,1,3002,1,1255,3.95833333333333,0.791666666666667,2516.94736842105
"ctlk07","M","kinder","school4","school4_kinder","control_1","participant",1,3628,1,2298,1,1948,1,1925,1,1454,1,2092,1,1743,1,1545,1,1723,1,1698,1,1268,1,1610,1,2232,1,2372,1,1900,0,1231,1,3002,1,1405,1,1588,1,1016,1,1365,1,1308,1,1553,1,1055,6.37994123854368,0.958333333333333,1814.26086956522
"ctlk08","M","kinder","school4","school4_kinder","control_1","participant",1,4114,1,2716,1,1502,1,2792,1,2243,1,3868,1,1234,1,3840,1,4304,1,4196,1,2507,1,1869,1,12185,1,22227,1,4222,1,6659,1,1100,1,4319,1,5987,1,26457,1,9431,1,2940,0,3147,1,3485,4.79166666666667,0.958333333333333,3666.4
"ctlk09","M","kinder","school4","school4_kinder","control_1","participant",1,1807,1,1257,0,1021,1,1261,1,1697,1,2180,1,2588,1,948,1,1844,1,2324,0,1474,0,2616,1,2945,0,1217,0,4571,0,1179,1,3340,1,2722,1,1068,1,1324,1,2524,1,1316,1,2888,0,1766,3.54166666666667,0.708333333333333,2001.94117647059
"ctlk10","M","kinder","school4","school4_kinder","control_1","participant",1,2559,1,3334,1,1779,1,1909,1,1818,1,1869,1,3030,1,2262,1,1812,1,1554,1,2897,1,2431,1,3793,1,1582,1,2387,0,1863,1,4219,1,3243,1,3545,1,1950,1,3422,1,2312,1,2108,1,2243,5.51860391000718,0.958333333333333,2524.26086956522
